,Unnamed: 0,SL.NO.,S_ID,Department,GENDER (M/F),AGE,X Exam,X Board,X School,X Subjects,X Medium,X YOP,X Percentage,X Actual Percentage,X Marks Obtained,X Total Marks,XII Exam,XII Board,XII School,XII Subjects,XII Medium,XII YOP,XII Std Percent,XII Actual Percent,XII Marks Obtained,XII Total Marks,Diploma Stream,Dip Uni/Board/Council,Dip Institute,Dip Medium,Dip YOP,Dip Aggregate Marks %,Permanent Loc State,Entrance Exam,Clg Year of Entry,Clg Year of Passing,Sem1,Sem2,Sem3,Sem4,Sem5,Sem Avg,Backlog Count
10,10,11,1310905117.0,AEIE,M,21,MADHYAMIK PARIKSHA,WEST BENGAL BOARD OF SECONDARY EDUCATION,PATHA BHAVAN,"ENGLISH(SL),BENGALI(FL),MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY",ENGLISH,2010.0,68,68,537,800,HIGHER SECONDARY EXAMINATION,WBCHSE,PATHA BHAVAN,"BENGALI(A),ENGLISH(B),CHEMISTRY,MATHEMATICS,PHYSICS,COMPUTER SCIENCE,ENVIRONMENTAL EDUCATION",ENGLISH,2012.0,62.0,67.0,310,500.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.44,7.07,6.22,5.97,7.16,6.572,
11,11,12,1310905017.0,AEIE,M,20,MADHYAMIK PARIKSHA,WEST BENGAL BOARD OF SECONDARY EDUCATION,PATHA BHAVAN,"BENGALI,ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTROY,GEOGRAPHY",ENGLISH,2011.0,83,82.63,661,800,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,PATHA BHAVAN,"BENGALI,ENGLISH,PHYSICS,CHEMISTRY,BIOLOGY,MATHEMATICS,ENVIRONMENTAL EDUCATION",ENGLISH,2013.0,74.71,74.71,523,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.37,7.69,7.78,8.69,8.4,7.986,
12,12,13,1310905029.0,AEIE,F,21,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI","AUXILIUM CONVENT SCHOOL,BARASAT","ENGLISH,BENGALI,ENVIRONMENTAL EDUCATION,HISTORY AND CIVICS,GEOGRAPHY,MATHEMATICS,PHYSICS,CHEMISTRY,BIOLOGY,COMPUTER APPLICATIONS",ENGLISH,2011.0,90.8,89,623,700,SENIOR SCHOOL CERTIFICATE EXAMINATION,CENTRAL BOARD OF SECONDARY EDUCATION,KALYANI PUBLIC SCHOOL,"ENGLISH,PHYSICS,CHEMISTRY,MATHEMATICS,BIOLOGY,COMMERCIAL ARTS",ENGLISH,2013.0,81.0,78.5,471,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.0,7.86,8.22,8.14,7.64,7.971999999999999,
13,13,14,1310905123.0,AEIE,F,21,MADHYAMIK PARIKSHA,WEST BENGAL BOARD OF SECONDARY EDUCATION,GOKHALE MEMORIAL GIRLS SCHOOL,"FIRST LANGUAGE-(1ST PAPER),FIRST LANGUAGE-(2ND PAPER),SECOND LANGUAGE,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY",ENGLISH,2011.0,75.75,75.75,606,800,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,ST JOHN'S DIOCESAN GIRLS' HIGH SCHOOL,"BENGALIA,ENGLISHB,PHYSICS,CHEMISTRY,BIOLOGY,MATHEMATICS,ENVIRONMENTAL EDUCATION",ENGLISH,2013.0,67.6,68.28,478,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.48,7.21,6.89,7.72,7.6,7.18,
14,14,15,1310905015.0,AEIE,M,21,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",WELLAND GOULDSMITH SCHOOL,"ENGLISH, HINDI, MATHEMATICS, PHYSICS CHEMISTRY, BIOLOGY, HISTORY CIVICS AND GEOGRAPHY, COMMERCIAL APPLICATIONS",ENGLISH,2011.0,92.14,92.14,645,700,I.S.C,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",WELLAND GOULDSMITH SCHOOL,"ENGLISH, HINDI, MATHEMATICS, PHYSICS, CHEMISTRY, BIOLOGY",ENGLISH,2013.0,88.16,88.16,529,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.19,8.83,7.93,8.76,8.24,8.39,
15,15,16,1310905113.0,AEIE,M,21,WEST BENGAL SECONDARY EXAMINATION,SECONDARY EDUCATION,BARSUL C.D.P HIGH SCHOOL,"BENGALI,ENGLISH.GEOGRAPHY ,HISTORY,MATHEMATICS,LIFE SCIENCE,PHYSICAL SCIENCE",BENGALI,2010.0,77.79,77.79,622,800,WEST BENGAL HIGHER SECONDARY EXAMINATION,WEST BENGAL BOARD OF HIGHER SECONDARY EDUCATION,DURGA-CHARAN RAKSHIT BANGA VIDAYALAYA,"BENGALI,ENGLISH,MATHEMATICS,PHYSICS,CHEMISTRY,BIOLOGY",BENGALI,2012.0,81.0,78.66,472,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.37,,6.33,,6.88,,4.0
16,16,17,1310905127.0,AEIE,F,21,MADHYAMIK EXAMINATION,WEST BENGAL BOARD OF SECONDARY EDUCATION,ST. JOHN'S DIOCESAN GIRLS' HIGHER SECONDARY SCHOOL,"BENGALI (FIRST LANGUAGE) , ENGLISH (SECOND LANGUAGE) , MATHEMATICS , PHYSICAL SCIENCE , LIFE SCIENCE , HISTORY , GEOGRAPHY",ENGLISH,2011.0,64.13,64.12,513,800,HIGHER SECONDARY EXAMINATION,WBCHSE,ST. JOHN'S DIOCESAN GIRLS' HIGHER SECONDARY SCHOOL,"BENGALI (A) , ENGLISH (B), CHEMISTRY , MATHEMATICS , PHYSICS, COMPUTER SCIENCE , ENVIRONMENTAL EDUCATION",ENGLISH,2013.0,60.0,60.71,425,700.0,,,,,,,WEST BENGAL,JEE-MAINS,2013.0,2017.0,6.78,7.1,7.33,7.66,7.84,7.342,
17,17,18,1310905030.0,AEIE,M,20,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",MODERN ENGLISH SCHOOL,"ENGLISH, HINDI, ENVIRONMENTAL EDUCATION, HISTORY, CIVICS AND GEOGRAPHY, MATHEMATICS, SCIENCE (pHYSICS, CHEMISTRY, BIOLOGY), COMPUTER APPLICATIONS.",ENGLISH,2011.0,90.28,90.28,632,700,I.S.C,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",HIMALI BOARDING SCHOOL,"ENGLISH, MATHEMATICS, PHYSICS, CHEMISTRY, COMPUTER SCIENCE.",ENGLISH,2013.0,88.2,88.2,441,500.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.26,7.66,7.89,8.14,7.89,7.967999999999999,
18,18,19,1310905023.0,AEIE,M,21,SENIOR SCHOOL EXAMINATION,CENTRAL BOARD OF SECONDARY EDUCATION,DELHI PUBLIC SCHOOL SILIGURI,"ENGLISH,HINDI,MATHEMATICS,SCIENCE,SOCIAL SCIENCE",ENGLISH,2011.0,83.6,83.6,,,SENIOR SCHOOL CERTIFICATE EXAMINATION,CENTRAL BOARD OF SECONDARY EDUCATION,DELHI PUBLIC SCHOOL RUBY PARK KOLKATA,"ENGLISH CORE,PHYSICS,CHEMISTRY,COMPUTER SCIENCE,PHYSICAL EDUCATION",ENGLISH,2013.0,79.0,76.5,459,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.78,8.21,7.41,7.59,7.36,7.67,
19,19,20,1310905016.0,AEIE,F,22,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI","ST.XAVIER'S SCHOOL,RAIGANJ","ENGLISH,BENGALI,ENVIRONMENTAL EDUCATION,HISTORY,CIVICS&GEOGRAPHY(HCS-B,GEO-B),MATHEMATICS,SCIENCE(PHY-B,CHE-B,BIO-B),COMPUTER APPLICATIONS",ENGLISH,2010.0,83,81.28,569,700,INDIAN SCHOOL CERTIFICATE EXAMINATION 2012,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS,NEW DELHI",MAHADEVI BIRLA SHISHU VIHAR,"ENGLISH,ENVIRONMENTAL EDUCATION,BENGALI,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",ENGLISH,2012.0,,68.28,478,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.33,7.79,7.22,7.52,8.04,7.58,
20,20,21,1310905114.0,AEIE,F,21,SECONDARY SCHOOL EXAMINATION,CENTRAL BOARD OF SECONDARY EDUCATION,KENDRIYA VIDYALAYA IIM JOKA,"ENGLISH COMM., COMM. SANSKRIT, MATHEMATICS, SCIENCE, SOCIAL SCIENCE",ENGLISH,2011.0,95,95,,,SENIOR SCHOOL CERTIFICATE EXAMINATION,CBSE,KENDRIYA VIDYALAYA IIM JOKA,"ENGLISH CORE, MATHEMATICS, PHYSICS, CHEMISTRY, COMPUTER SCIENCE",ENGLISH,2013.0,83.4,83.4,417,500.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.3,7.69,6.89,8.1,8.44,7.884,
21,21,22,1310905010.0,AEIE,M,20,ANNUAL SECONDARY EXAMINATION,"JHARKHAND ACADEMIC COUNCIL,RANCHI","GIRIWAR HIGH SCHOOL,DALTONGANJ","HINDI-A,ENGLISH,MATHEMATICS,SCIENCE&TECHNOLOGY,SOCIAL SCIENCE,SANSKRIT",HINDI,2010.0,77,77.16,463,600,INTERMEDIATE EXAMINATION,"JHARKHAND ACADEMIC COUNCIL,RANCHI","MARWARI COLLEGE,RANCHI","ENGLISH A,PHYSICS,CHEMISTRY,MATHEMATICS,ECONOMICS",ENGLISH,2012.0,65.6,65.6,328,500.0,,,,,,,JHARKHAND,WBJEE,2013.0,2017.0,7.56,6.93,7.41,7.1,7.76,7.351999999999999,
22,22,23,1310905124.0,AEIE,M,20,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI","ST.XAVIER'S SCHOOL,SAHIBGANJ","ENGLISH;HINDI;ENVIRONMENTAL EDUCATION;HISTORY,CIVICS,GEOGRAPHY;MATHEMATICS;SCIENCE(PHYSICS,CHEMISTRY,BIOLOGY);COMPUTER APPLICATIONS",ENGLISH,2010.0,86.8,83.71,586,700,ALL INDIA SENIOR SCHOOL CERTIFICATE EXAMINATION,CBSE,"INTERNATIONAL PUBLIC SCHOOL,RANCHI","ENGLISH CORE,MATHEMATICS,PHYSICS,CHEMISTRY,PHYSICAL EDUCATION",ENGLISH,2012.0,74.0,74.0,370,500.0,,,,,,,JHARKHAND,WBJEE,2013.0,2017.0,7.63,7.41,7.19,6.97,7.92,7.423999999999999,
23,23,24,1310905136.0,AEIE,M,22,MADHYAMIK,WBBSE,DAKSHIN BARASAT S - A HIGH SCHOOL,"FL - BENGALI,SL - ENGLISH,HISTORY,GEOGRAPHY,LIFE SCIENCE,PHYSICAL SCIENCE,MATHEMATICS",BENGALI,2010.0,72,77,617,800,HIGHER SECONDARY,WBCHSE,DAKSHIN BARASAT S- A HIGH SCHOOL,"BENGALI,ENG,CHEMISTRY,MATHEMETICS PHYSICS,BIOS.ENVE",BENGALI,2012.0,65.0,65.0,327,500.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.19,5.62,6,5.14,6.4,5.87,2.0
24,24,25,1310905009.0,AEIE,F,20+,MADHYAMIK,WBBSE,KOLAGHATTHERMAL POWER STATION HIGH SCHOOL,"BENGALI 1ST PAPER,BENGALI 2ND PAPER,ENGLISH,MATHEMATICS,PHYSICAL SVIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY",BENGALI,2011.0,82,82,656,800,HIGHER SECONDARY,WBCHSE,KOLAGHAT THERMAL POWER STATION HIGH SCHOOL,"BENGALI,ENGLISH,CHEMISTRY,PHYSICS, MATHEMATICS,BIOLOGY",BENGALI,2013.0,73.4,74.6,367,500.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.93,7.21,7.41,7.14,7.92,7.322,
25,25,26,1310905122.0,AEIE,M,21,MADHYAMIK,WEST BENGAL BOARD OF SECONDARY EDUCATION,RAMAKRISHNA MISSION BOYS' HOME HIGH SCHOOL [HIGHER SECONDARY] RAHARA,"BENGALI , ENGLISH , MATHEMATICS , PHYSICAL SCIENCE , LIFE SCIENCE , HISTORY , GEOGRAPHY",BENGALI,2011.0,81.75,81.75,654,800,HGHER SECONDARY EXAMINATION,WEST BENGAL BOARD OF HIGHER SECONDARY EDUCATION,HARE SCHOOL,"BENGALI , ENGLISH , MATHEMATICS , CHEMISTRY , PHYSICS , BIOLOGY",ENGLISH,2013.0,70.0,70.29,492,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.37,6.83,6.93,6.69,7.28,6.82,
26,26,27,1310905019.0,AEIE,F,21,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",MAHARISHI VIDYA MANDIR,"ENGLISH ; BENGALI; ENVIRONMENTAL EDUCATION; HISTORY, CIVICS & GEOGRAPHY, MATHEMATICS, SCIENCE (PHYSICS , CHEMISTRY, BIOLOGY), COMPUTER APPLICATIONS.",ENGLISH,2011.0,81.2,75.71,530,700,I.S.C,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",WELLAND GOULDSMITH SCHOOL,"ENGLISH, BENGALI, MATHEMATICS, PHYSICS, CHEMISTRY, BIOLOGY.",ENGLISH,2013.0,67.25,61.33,368,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.59,6.9,6.22,6.97,6.88,6.712000000000001,1.0
27,27,28,1310905006.0,AEIE,M,22,MADHYAMIK PARIKSHA,WEST BENGAL BOARD OF SECONDARY EDUCATION,ISLAMIA HIGH SCHOOL,"URDU,ENGLISH,MATHEMATICS.PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY,WORK EDUCATION",URDU,2011.0,83,82,738,900,HIGHER SECONDARY,WBCHSE,ISLAMIA HIGHER SECONDARY SCHOOL,"URDU,ENGLISH,CHEMISTRY,MATH,PHYSICS, BIOLOGY,ENVIRONMENTAL STUDIES",ENGLISH,2013.0,82.2,80.0,480,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.41,7.62,7.56,7.66,7.52,7.553999999999999,
28,28,29,1310905035.0,AEIE,F,20,MADHYAMIK PARIKSHA(SECONDARY EXAMINATION),WEST BENGAL BOARD OF SECONDARY EDUCATION,SANTRAGACHI BHANUMATI GIRLS HIGH SCHOOL,"BENGALI,ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY",BENGALI,2011.0,78.62,78.62,629,800,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,SANTRAGACHI KEDARNATH INSTITUTION,"LANGUAGE(BENGALI,ENGLISH),SCIENCE(CHEMISTRY,MATHEMATICS,PHYSICS,BIOLOGY)",BENGALI,2013.0,69.6,72.0,504,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.93,7.97,7.22,7.93,7.88,7.786,
29,29,30,1310905008.0,AEIE,M,21,AISSE 2011,CBSE,BDM INTERNATIONAL,"ENGLISH,BENGALI,MATHEMATICS,SCIENCE,FOUNDATION OF IT",ENGLISH,2011.0,95,95,,,AISSCE,CBSE,BDM INTERNATIONAL,"ENGLISH CORE , COMPUTER SCIENCE, PHYSICS, MATHEMATICS,BENGALI",ENGLISH,2013.0,74.67,74.67,448,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,6.33,7.69,6.78,8.1,7.04,7.188,
30,30,31,1310905013.0,AEIE,F,21,MADHYAMIK PARIKSHA(SECONDARY EXAMINATION),WEST BENGAL BOARD OF SECONDARY EDUCATION,SHALIMAR HINDI HIGH SCHOOL,"FIRST LANGUAGE-(HINDI) 1st PAPER,FIRST LANGUAGE-(HINDI) 2nd PAPER,SECOND LANGUAGE (ENGLISH),MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY,(OPTIONAL) WORK EDUCATION",HINDI,2010.0,79,79.89,719,900,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,SHREE JAIN VIDYALAYA FOR GIRLS,"FIRST LANGUAGE(HINDI),SECOND LANGUAGE (ENGLISH),CHEMISTRY,MATHEMATICS,PHYSICS,ENVIORONMENTAL EDUCATION,(OPTIONAL) COMPUTER",ENGLISH,2012.0,67.67,65.14,456,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.44,7.41,7.7,7.83,8.16,7.708000000000001,
31,31,32,1310905118.0,AEIE,F,20,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",RAMMOHAN MISSION HIGH SCHOOL,"ENGLISH,ENVIRONMENTAL EDUCATION,MATHEMATICS,BENGALI,SCIENCE,HISTORY CIVICS & GEOGRAPHY,COMPUTER APPLICATION",ENGLISH,2011.0,91.6,89.42,626,700,I.S.C,ISC,THE FUTURE FOUNDATION SCHOOL,"ENGLISH,BENGALI,MATHEMATICS,PHYSICS,CHEMISTRY,COMPUTER SCIENCE",ENGLISH,2013.0,89.5,82.83,497,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.63,8.0,7.48,8.14,8.04,7.858,
32,32,33,1310905033.0,AEIE,F,20,MADHYAMIK PARIKSHA,WEST BENGAL BOARD OF SECONDARY EDUCATION,NAVA NALANDA HIGH SCHOOL,"BENGALI,ENGLISH,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE, HISTORY,GEOGRAPHY",ENGLISH,2011.0,76.88,76.87,615,800,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,NAVA NALANDA HIGH SCHOOL(H.S. DEPARTMENT),"BENGALI,ENGLISH,CHEMISTRY, MATHEMATICS,PHYSICS,BIOLOGY,ENVIORNMENTAL SCIENCES",ENGLISH,2013.0,73.6,75.28,527,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.85,7.38,6.85,7.73,7.68,7.497999999999999,
